index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3909,female,SGP,450,p,0.02,0.006599663291074444,40,49,2007,2009
3910,female,SGP,560,p,0.025,0.006597483286396845,50,59,2007,2009
3911,female,SGP,414,p,0.07004830917874398,0.01254379223260421,60,69,2007,2009
3912,female,SGP,206,p,0.1262135922330097,0.02313780176943346,70,79,2007,2009
3913,female,SGP,33,p,0.15151515151515152,0.062415594005386335,80,95,2007,2009
3914,female,SGP,1663,p,0.04990980156343957,0.005339851945903722,40,95,2007,2009
3915,,IND,1367,p,0.029992684711046082,0.004613291726328297,40,49,2006,2008
3916,,IND,788,p,0.0799492385786802,0.009661619988319362,50,59,2006,2008
3917,,IND,840,p,0.08095238095238096,0.009411182113551431,60,69,2006,2008
3918,,IND,367,p,0.08991825613079019,0.014932451297694056,70,79,2006,2008
3919,,IND,55,p,0.07272727272727272,0.03501636410410674,80,95,2006,2008
3920,,IND,3422,p,0.06107539450613676,0.004093629164283767,40,95,2006,2008
3921,male,IND,632,p,0.0379746835443038,0.0076029440244308934,40,49,2006,2008
3922,male,IND,392,p,0.07397959183673469,0.013219749047102963,50,59,2006,2008
3923,male,IND,333,p,0.09009009009009007,0.0156897343839208,60,69,2006,2008
3924,male,IND,221,p,0.10407239819004524,0.020540362442115642,70,79,2006,2008
3925,male,IND,44,p,0.09090909090909093,0.043339208602072375,80,95,2006,2008
3926,male,IND,1619,p,0.06794317479925881,0.006254184506417001,40,95,2006,2008
3927,female,IND,739,p,0.023004059539918808,0.005514757269945586,40,49,2006,2008
3928,female,IND,395,p,0.08607594936708861,0.01411228751856662,50,59,2006,2008
3929,female,IND,507,p,0.07495069033530571,0.011694085926988252,60,69,2006,2008
3930,female,IND,156,p,0.0641025641025641,0.0196105389931747,70,79,2006,2008
3931,female,IND,6,p,0.08333333333333333,0.11283386673105499,80,95,2006,2008
3932,female,IND,1803,p,0.05490848585690517,0.005364865055081871,40,95,2006,2008
3933,,JPN,5595,p,0.3987488829311885,0.006546024740960078,50,74,2008,2010
3934,male,JPN,1977,p,0.39504299443601415,0.01099464225484895,50,74,2008,2010
3935,female,JPN,3618,p,0.4007739082365948,0.008147245372660867,50,74,2008,2010
3936,,JPN,1830,p,0.3092896174863388,0.010804511049427888,50,59,2008,2010
3937,,JPN,2842,p,0.4180154820548909,0.00925209029422889,60,69,2008,2010
3938,,JPN,923,p,0.5167930660888408,0.016448415472011545,70,74,2008,2010
3939,,JPN,5595,p,0.3935656836461126,0.006531312306668174,50,74,2008,2010
3940,male,JPN,1977,p,0.38694992412746587,0.010953982014560886,50,74,2008,2010
3941,female,JPN,3618,p,0.3971807628524047,0.008134921623871387,50,74,2008,2010
3942,,JPN,1830,p,0.30655737704918035,0.010777936165718321,50,59,2008,2010
3943,,JPN,2842,p,0.4127375087966221,0.009235088550249923,60,69,2008,2010
3944,,JPN,923,p,0.5070422535211268,0.01645606800145857,70,74,2008,2010
3945,,JPN,5595,p,0.22001787310098306,0.005538233485246451,50,74,2008,2010
3946,male,JPN,1977,p,0.20637329286798176,0.009101889303972795,50,74,2008,2010
3947,female,JPN,3618,p,0.2274737423991155,0.006969281070497548,50,74,2008,2010
3948,,JPN,1830,p,0.1885245901639344,0.009143156211141834,50,59,2008,2010
3949,,JPN,2842,p,0.2311752287121745,0.00790810259664834,60,69,2008,2010
3950,,JPN,923,p,0.2481040086673889,0.014216573178014866,70,74,2008,2010
3951,,JPN,5595,p,0.17354781054512958,0.005063121990389521,50,74,2008,2010
3952,male,JPN,1977,p,0.12999494183105714,0.007563464644936435,50,74,2008,2010
3953,female,JPN,3618,p,0.16970702045328911,0.006240671261567737,50,74,2008,2010
3954,,JPN,1830,p,0.1180327868852459,0.007542268799028725,50,59,2008,2010
3955,,JPN,2842,p,0.1815622800844476,0.007230920648047645,60,69,2008,2010
3956,,JPN,923,p,0.2589382448537378,0.014418645018400112,70,74,2008,2010
3957,,JPN,5595,p,0.0051831992850759605,0.000959998299284235,50,74,2008,2010
3958,male,JPN,1977,p,0.008093070308548306,0.0020150637214444707,50,74,2008,2010
3959,female,JPN,3618,p,0.00359314538419016,0.0009947672225688556,50,74,2008,2010
3960,,JPN,1830,p,0.00273224043715847,0.001220224672350152,50,59,2008,2010
3961,,JPN,2842,p,0.005277973258268825,0.001359165754053898,60,69,2008,2010
3962,,JPN,923,p,0.009750812567713976,0.0032343856466658144,70,74,2008,2010
3963,,JPN,5595,p,0.3987488829311885,0.006546024740960078,50,74,2008,2010
3964,male,JPN,1977,p,0.39504299443601415,0.01099464225484895,50,74,2008,2010
3965,female,JPN,3618,p,0.4007739082365948,0.008147245372660867,50,74,2008,2010
3966,,JPN,1830,p,0.3092896174863388,0.010804511049427888,50,59,2008,2010
3967,,JPN,2842,p,0.4180154820548909,0.00925209029422889,60,69,2008,2010
3968,,JPN,923,p,0.5167930660888408,0.016448415472011545,70,74,2008,2010
3969,,JPN,5595,p,0.3935656836461126,0.006531312306668174,50,74,2008,2010
3970,male,JPN,1977,p,0.38694992412746587,0.010953982014560886,50,74,2008,2010
3971,female,JPN,3618,p,0.3971807628524047,0.008134921623871387,50,74,2008,2010
3972,,JPN,1830,p,0.30655737704918035,0.010777936165718321,50,59,2008,2010
3973,,JPN,2842,p,0.4127375087966221,0.009235088550249923,60,69,2008,2010
3974,,JPN,923,p,0.5070422535211268,0.01645606800145857,70,74,2008,2010
3975,,JPN,5595,p,0.22001787310098306,0.005538233485246451,50,74,2008,2010
3976,male,JPN,1977,p,0.20637329286798176,0.009101889303972795,50,74,2008,2010
3977,female,JPN,3618,p,0.2274737423991155,0.006969281070497548,50,74,2008,2010
3978,,JPN,1830,p,0.1885245901639344,0.009143156211141834,50,59,2008,2010
3979,,JPN,2842,p,0.2311752287121745,0.00790810259664834,60,69,2008,2010
3980,,JPN,923,p,0.2481040086673889,0.014216573178014866,70,74,2008,2010
3981,,JPN,5595,p,0.17354781054512958,0.005063121990389521,50,74,2008,2010
3982,male,JPN,1977,p,0.12999494183105714,0.007563464644936435,50,74,2008,2010
3983,female,JPN,3618,p,0.16970702045328911,0.006240671261567737,50,74,2008,2010
3984,,JPN,1830,p,0.1180327868852459,0.007542268799028725,50,59,2008,2010
3985,,JPN,2842,p,0.1815622800844476,0.007230920648047645,60,69,2008,2010
